t,px,py,pz,vx,vy,vz,ax,ay,az
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.020,0.001,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
0.030,0.002,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000
0.040,0.005,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000
0.050,0.008,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000
0.060,0.013,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
0.070,0.018,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.000
0.080,0.025,0.000,0.000,0.700,0.000,0.000,0.000,0.000,0.000
0.090,0.032,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.000
0.100,0.041,0.000,0.000,0.900,0.000,0.000,0.000,0.000,0.000
0.110,0.050,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0.120,0.060,0.000,0.000,1.100,0.000,0.000,0.000,0.000,0.000
0.130,0.072,0.000,0.000,1.200,0.000,0.000,0.000,0.000,0.000
0.140,0.084,0.000,0.000,1.300,0.000,0.000,0.000,0.000,0.000
0.150,0.098,0.000,0.000,1.400,0.000,0.000,0.000,0.000,0.000
0.160,0.112,0.000,0.000,1.500,0.000,0.000,0.000,0.000,0.000
0.170,0.128,0.000,0.000,1.600,0.000,0.000,0.000,0.000,0.000
0.180,0.145,0.000,0.000,1.700,0.000,0.000,0.000,0.000,0.000
0.190,0.162,0.000,0.000,1.800,0.000,0.000,0.000,0.000,0.000
0.200,0.181,0.000,0.000,1.900,0.000,0.000,0.000,0.000,0.000
0.210,0.200,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000
0.220,0.221,0.000,0.000,2.100,0.000,0.000,0.000,0.000,0.000
0.230,0.242,0.000,0.000,2.200,0.000,0.000,0.000,0.000,0.000
0.240,0.265,0.000,0.000,2.300,0.000,0.000,0.000,0.000,0.000
0.250,0.288,0.000,0.000,2.400,0.000,0.000,0.000,0.000,0.000
0.260,0.313,0.000,0.000,2.500,0.000,0.000,0.000,0.000,0.000
0.270,0.338,0.000,0.000,2.600,0.000,0.000,0.000,0.000,0.000
0.280,0.365,0.000,0.000,2.700,0.000,0.000,0.000,0.000,0.000
0.290,0.392,0.000,0.000,2.800,0.000,0.000,0.000,0.000,0.000
0.300,0.421,0.000,0.000,2.900,0.000,0.000,0.000,0.000,0.000
0.310,0.450,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000
0.320,0.481,0.000,0.000,3.100,0.000,0.000,0.000,0.000,0.000
0.330,0.512,0.000,0.000,3.200,0.000,0.000,0.000,0.000,0.000
0.340,0.545,0.000,0.000,3.300,0.000,0.000,0.000,0.000,0.000
0.350,0.578,0.000,0.000,3.400,0.000,0.000,0.000,0.000,0.000
0.360,0.613,0.000,0.000,3.500,0.000,0.000,0.000,0.000,0.000
0.370,0.648,0.000,0.000,3.600,0.000,0.000,0.000,0.000,0.000
0.380,0.685,0.000,0.000,3.700,0.000,0.000,0.000,0.000,0.000
0.390,0.722,0.000,0.000,3.800,0.000,0.000,0.000,0.000,0.000
0.400,0.761,0.000,0.000,3.900,0.000,0.000,0.000,0.000,0.000
0.410,0.800,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000
0.420,0.841,0.000,0.000,4.100,0.000,0.000,0.000,0.000,0.000
0.430,0.882,0.000,0.000,4.200,0.000,0.000,0.000,0.000,0.000
0.440,0.924,0.000,0.000,4.300,0.000,0.000,0.000,0.000,0.000
0.450,0.968,0.000,0.000,4.400,0.000,0.000,0.000,0.000,0.000
0.460,1.012,0.000,0.000,4.500,0.000,0.000,0.000,0.000,0.000
0.470,1.058,0.000,0.000,4.600,0.000,0.000,0.000,0.000,0.000
0.480,1.104,0.000,0.000,4.700,0.000,0.000,0.000,0.000,0.000
0.490,1.152,0.000,0.000,4.800,0.000,0.000,0.000,0.000,0.000
0.500,1.200,0.000,0.000,4.900,0.000,0.000,0.000,0.000,0.000
0.510,1.250,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000
0.520,1.300,0.000,0.000,5.100,0.000,0.000,0.000,0.000,0.000
0.530,1.352,0.000,0.000,5.200,0.000,0.000,0.000,0.000,0.000
0.540,1.404,0.000,0.000,5.300,0.000,0.000,0.000,0.000,0.000
0.550,1.458,0.000,0.000,5.400,0.000,0.000,0.000,0.000,0.000
0.560,1.512,0.000,0.000,5.500,0.000,0.000,0.000,0.000,0.000
0.570,1.568,0.000,0.000,5.600,0.000,0.000,0.000,0.000,0.000
0.580,1.624,0.000,0.000,5.700,0.000,0.000,0.000,0.000,0.000
0.590,1.682,0.000,0.000,5.800,0.000,0.000,0.000,0.000,0.000
0.600,1.740,0.000,0.000,5.900,0.000,0.000,0.000,0.000,0.000
0.610,1.800,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000
0.620,1.860,0.000,0.000,6.100,0.000,0.000,0.000,0.000,0.000
0.630,1.922,0.000,0.000,6.200,0.000,0.000,0.000,0.000,0.000
